airbnb_id,beds,is_rebookable,is_business_travel_ready,is_family_preferred,is_superhost,picture_count,lat,lng,localized_city,localized_neighborhood,name,person_capacity,reviews_count,room_type,space_type,star_rating,can_instant_book,monthly_price_factor,rate_amount,rate_amount_formatted,rate_amount_micros,rate_currency,weekly_price_factor,state
16455832,2,0,0,0,0,12,30.26908491,-97.74930681,Austin,Downtown,Luxury 2/2 in the Heart of Downtown Austin,5,1,Entire home/apt,Entire apartment,,0,1,1000,"$1,000 ",,USD,1,TX
16457732,1,0,0,0,1,7,30.41750919,-97.69661253,Austin,Lamplight Village,Amazing Private Bedroom in 2BR Apt,2,24,Private room,Private room,5,0,1,28,$28 ,,USD,1,TX
16463114,2,0,0,0,0,13,30.26209864,-97.77332347,Austin,,Right by the river! Walk to town through the trail,1,0,Private room,Private room,,0,1,99,$99 ,,USD,1,TX
16464205,2,0,0,0,0,1,30.39962065,-97.72471225,Austin,Balcony Woods,"On Rock Rose, perfect New Year Spot.",4,0,Entire home/apt,Entire apartment,,1,1,300,$300 ,,USD,1,TX
16476385,5,0,1,0,1,32,30.22579968,-97.74237209,Austin,Parker Lane,"East Austin, close to downtown, great for groups!",6,32,Entire home/apt,Entire condominium,5,1,0.61,199,$199 ,,USD,0.9,TX
16476468,5,0,0,0,0,2,30.18292776,-97.89171089,Austin,Circle C,"Circle C Ranch Home, 15 Minutes from Downtown",7,0,Entire home/apt,Entire house,,1,1,187,$187 ,,USD,1,TX
16478763,1,0,0,0,0,6,30.23352255,-97.72873783,Austin,,Austin TX apartment minutes from 6th Street,4,1,Entire home/apt,Entire apartment,,1,0.5,45,$45 ,,USD,0.79,TX
16479513,4,0,1,0,1,26,30.37669846,-97.7421543,Austin,,NW Hills Family Retreat #2,7,17,Entire home/apt,Entire house,5,0,0.6,169,$169 ,,USD,0.8,TX
16480332,1,0,0,0,1,15,30.15977191,-97.81214719,Austin,,Private Blue Eyes Master Suite - 10 min. to dwntwn,2,0,Private room,Private room,,1,0.6,75,$75 ,,USD,0.8,TX
16480381,2,0,0,0,0,9,30.25530625,-97.79990969,Austin,,"5 min. To Downtown, Temperpedic bed",6,3,Entire home/apt,Entire apartment,4.5,0,1,120,$120 ,,USD,0.9,TX
16480521,1,0,0,0,0,13,30.25964879,-97.73760204,Austin,,Fun & Upscale Downtown Apt - Rainey St - Brand New,5,4,Entire home/apt,Entire apartment,4,1,0.65,300,$300 ,,USD,0.85,TX
16486522,1,0,0,0,0,7,30.42703651,-97.74837536,Austin,,Pet Friendly Spacious 1st floor close to Domain,3,4,Entire home/apt,Entire apartment,5,0,0.85,59,$59 ,,USD,0.9,TX
16491056,1,0,0,0,0,14,30.25255408,-97.7252676,Austin,,East Side Modern Master Suit - Close to SXSW!,2,3,Private room,Private room,5,0,1,180,$180 ,,USD,0.9,TX
16491253,3,0,1,0,0,11,30.25426797,-97.76137035,Austin,South Lamar,Modern Apt - South Lamar & Close to Downtown,3,26,Entire home/apt,Entire apartment,5,0,0.85,130,$130 ,,USD,0.9,TX
16494929,1,0,0,0,0,8,30.27506816,-97.70643331,Austin,,The Modern Barracks of East Austin,2,13,Private room,Private room,5,1,0.8,39,$39 ,,USD,0.85,TX
