,airbnb_id,amount_formatted,beds,can_instant_book,currency,is_business,is_rebookable,is_superhost,lat,lng,localized_city,localized_neighborhood,monthly_price_factor,name,person_capacity,picture_count,rate_amount,reviews_count,room_type,space_type,star_rating,weekly_price_factor
780,25920132.0,$65,2.0,1.0,USD,0.0,0.0,1.0,35.084618,-106.656685,Albuquerque,,0.7,The Eller Space,6.0,21.0,65.0,32.0,Entire home/apt,Entire apartment,5.0,0.75
781,14570948.0,$65,2.0,1.0,USD,0.0,0.0,1.0,35.065876757334436,-106.21353499579938,Edgewood,,0.75,The Inn on Route 66,5.0,14.0,65.0,97.0,Private room,Private room,5.0,1.0
782,27935892.0,$350,3.0,1.0,USD,0.0,0.0,0.0,35.109761581453284,-106.7007160982559,Albuquerque,,1.0,House with Views to the City,6.0,13.0,350.0,1.0,Entire home/apt,Entire house,,1.0
783,15329005.0,$20,1.0,0.0,USD,0.0,0.0,1.0,35.20073744643275,-106.74944080076155,Albuquerque,,1.0,Ventana Ranch West in ABQ!,2.0,9.0,20.0,17.0,Private room,Private room,5.0,1.0
784,1728332.0,$125,3.0,0.0,USD,0.0,0.0,0.0,35.18792163567795,-106.54599696175346,Albuquerque,,0.72,Attached Casita,6.0,8.0,125.0,33.0,Entire home/apt,Earth house,5.0,0.9
785,20763725.0,$55,1.0,0.0,USD,0.0,0.0,1.0,35.09639636977434,-106.66173893451264,Albuquerque,,0.8,Cozy Old Town Casita,2.0,18.0,55.0,74.0,Entire home/apt,Entire house,5.0,0.9
786,28783158.0,$100,1.0,1.0,USD,0.0,0.0,0.0,35.237011725321025,-106.60076920082012,Corrales,,0.51,Corrales guest home. Balloons come to you!,2.0,8.0,100.0,1.0,Entire home/apt,Entire guest suite,,0.82
787,22599904.0,$70,2.0,1.0,USD,0.0,0.0,0.0,35.250799438428935,-106.62794949992038,Corrales,,0.8,The Sage Guest House in Corrales NM,4.0,32.0,70.0,10.0,Entire home/apt,Entire guesthouse,5.0,0.9
788,8452665.0,$449,4.0,0.0,USD,0.0,0.0,0.0,35.21284971183471,-106.62276015834864,Corrales,,1.0,Balloon Fiesta Oasis in Historic Corrales,6.0,17.0,449.0,20.0,Entire home/apt,Entire house,5.0,1.0
789,4246993.0,$45,2.0,0.0,USD,0.0,0.0,0.0,35.10350214077375,-106.55680115061294,Albuquerque,,1.0, Convenient Location/Quiet,2.0,9.0,45.0,14.0,Private room,Private room,5.0,1.0
790,28465410.0,$75,6.0,1.0,USD,0.0,0.0,0.0,35.139565177323576,-106.30032410500355,Sandia Park,,0.7,East Mountain Adventure Base-family & pet friendly,8.0,32.0,75.0,0.0,Entire home/apt,Entire house,,0.85
791,2678200.0,$89,2.0,0.0,USD,0.0,0.0,1.0,35.11232,-106.676987,Albuquerque,,1.0,Artist Casita with loft ,4.0,11.0,89.0,89.0,Entire home/apt,Entire place,5.0,1.0
792,28499171.0,$286,4.0,0.0,USD,0.0,0.0,0.0,35.096460916195674,-106.57803184312479,Albuquerque,,1.0,Colorful and Comfortable in Uptown,7.0,17.0,286.0,1.0,Entire home/apt,Entire house,,1.0
793,15888086.0,$125,2.0,0.0,USD,0.0,0.0,0.0,35.13315348476043,-106.66029417062795,Albuquerque,,0.6,"Private, Quiet, & Comfortable Home in North Valley",5.0,22.0,125.0,2.0,Entire home/apt,Entire house,,0.85
794,7771749.0,$46,1.0,1.0,USD,0.0,0.0,1.0,35.09701877558269,-106.53587462061647,Albuquerque,,0.85,Private Courtyard is just the beginning!,2.0,9.0,46.0,24.0,Private room,Private room,5.0,0.88
795,21149483.0,$30,1.0,1.0,USD,0.0,0.0,1.0,35.11575424689019,-106.65697588506801,Albuquerque,,0.51,Zia Bungalow in the historic North Valley,2.0,12.0,30.0,43.0,Entire home/apt,Entire bungalow,5.0,0.79
